Weight,Ticket #,Priority,Queue,Problem Description,Company,Location,Category,Problem Type,Problem Subtype,Last Modified,Date Opened,Action,Assigned To,Created By,Last Update,Ticket State
7,2311902,3,Problem Circuits,Chronic Circuit Master Ticket,First Farmers Bank & Trust,"23_Oakland_12 W Main St Oakland, IL 61943",Global,Problem,Circuit,4/21/2014 10:32,4/18/2014 14:37,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2313866 has been associated to t,Active
7,2319206,3,Problem Circuits,Chronic Circuit Master Ticket,"Almost Family, Inc.","(401-31) 6 Brighton Rd #107, Clifton NJ 07012",Global,Problem,Circuit,4/23/2014 11:02,4/23/2014 11:02,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2319202 has been associated to t,Active
4,2320802,3,Problem Circuits,Chronic Circuit Master Ticket,Jon-Don Inc.,7A Raymond Ave #11 - 14 Salem NH 03079,Enterprise,Problem,Circuit,4/23/2014 22:45,4/23/2014 22:45,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2320798 has been associated to t,Active
7,2320858,3,Problem Circuits,Chronic Circuit Master Ticket,Sims Group USA Holdings Corporation,"425 W 152nd Street East Chicago, IN 46312",Global,Problem,Circuit,4/24/2014 1:51,4/24/2014 1:51,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2320854 has been associated to t,Active
7,2320886,3,Problem Circuits,Chronic Circuit Master Ticket,"CP OpCo, LLC","2310 E. Imperial Hwy., El Segundo, CA 90245",Global,Problem,Circuit,4/24/2014 4:34,4/24/2014 4:34,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2320882 has been associated to t,Active
4,2321434,3,Problem Circuits,Chronic Circuit Master Ticket,"U.S. Holdings, Inc","100 Bessemer Ave., Prichard, AL 36610",Enterprise,Problem,Circuit,4/24/2014 10:47,4/24/2014 10:47,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2321430 has been associated to t,Active
7,2308826,3,Problem Circuits,Chronic Circuit Master Ticket,Morrison Supply Company,"BRANCH# 71 - 1242 Villa Maria, Bryan, TX 77802",Global,Problem,Circuit,4/24/2014 11:04,4/17/2014 13:25,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2321474 has been associated to t,Active
4,2323130,3,Problem Circuits,Chronic Circuit Master Ticket,Kajima International Inc.,"6410 Oak Canyon #150, Irvine CA 92618",Enterprise,Problem,Circuit,4/25/2014 0:47,4/25/2014 0:47,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2323126 has been associated to t,Active
7,2323826,3,Problem Circuits,Chronic Circuit Master Ticket,General Growth Properties,"Northbrook Court_2171 Northbrook Ct, Mall Office Northbrook IL 60062",Global,Problem,Circuit,4/25/2014 10:06,4/25/2014 10:06,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2323822 has been associated to t,Active
9,2323942,3,Problem Circuits,Chronic Circuit Master Ticket,"HRB Tax Group, Inc","1 H&R Block Way Kansas City, MO 64105- Main",Global,Problem,Circuit,4/25/2014 10:43,4/25/2014 10:43,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2323938 has been associated to t,Active
4,2305266,3,Problem Circuits,Chronic Circuit Master Ticket,"UnitedTech Lender Services, Inc.","17752 Sky Park Circle Ste 140 Irvine, CA 92614",Enterprise,Problem,Circuit,4/25/2014 16:13,4/16/2014 6:18,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2325230 has been associated to t,Active
1,2318170,3,Problem Circuits,Chronic Circuit Master Ticket,"Orlando Rehabilitation Group, Inc.","151 E Minnehaha Avenue Clermont, FL 34711",Commercial,Problem,Circuit,4/25/2014 20:24,4/22/2014 17:46,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2325574 has been associated to t,Active
7,2325650,3,Problem Circuits,Chronic Circuit Master Ticket,Dental Care Alliance,4736 Neshaminy Blvd Bensalem PA 19020,Global,Problem,Circuit,4/26/2014 0:22,4/26/2014 0:22,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2325646 has been associated to t,Active
7,2325838,3,Problem Circuits,Chronic Circuit Master Ticket,"CP OpCo, LLC","2260 E El Segundo Blvd., El Segundo, CA 90245",Global,Problem,Circuit,4/26/2014 15:09,4/26/2014 15:09,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2325834 has been associated to t,Active
5,2326246,3,Problem Circuits,Chronic Circuit Master Ticket,"Innovative Hearth Products, LLC.","503 E Reelfoot Ave., Union City, TN 38261",Enterprise,Problem,Circuit,4/27/2014 15:47,4/27/2014 15:47,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2326242 has been associated to t,Active
6,2326426,3,Problem Circuits,Chronic Circuit Master Ticket,Pac Van,"79 North Central Dr., O'Fallon, MO 63366",Enterprise,Problem,Circuit,4/28/2014 3:46,4/28/2014 3:46,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2326422 has been associated to t,Active
